Tissue Type,Disease,Gene,Common Genomic Variant(s),Significance,Primary Assays
Adrenal,"Hereditary Paraganglioma /
Pheochromocytoma","SDHA, SDHB, SDHC, SDHD",LOF,risk of hereditary cancer,"IHC, SGAs, NGS"
Adrenal,Neuroblastoma,MYCN,Amplification,prognosis,FISH
Brain,Glioma / Glioblastoma,IDH1 / IDH2,"IDH1 R132, IDH2 R172, R140",diagnostic,"IHC, SGAs, NGS"
Brain,Glioma / Glioblastoma,TERT,promoter mutations,prognosis,"SGAs, NGS"
Brain,Glioma / Glioblastoma,1p / 19q codeletion,,oligodendroglioma phenotype,"FISH, CGX, NGS"
Brain,Glioma / Glioblastoma,ATRX,LOF,prognosis,"IHC, SGAs, NGS"
Brain,Glioma / Glioblastoma,MGMT,promoter methylation,response to alkylating agents,Methylation assay
Brain,Glioma / Glioblastoma,EGFR,amplification; vIII transcript,diagnostic,"FISH, CGX, SGAs, NGS"
Brain,Pediatric Glioma,"H3F3A, HIST1H3B",K27,diagnostic,
Brain,Medulloblastoma,WNT pathway genes,CTNNB1,diagnostic subtype,"SGAs, NGS"
Brain,Medulloblastoma,SHH pathway genes,PTCH1 LOF,diagnostic subtype,"SGAs, NGS"
Breast,Breast CA,CTNNB1 (Beta-Catenin),Exon 3 mutations,aberrant nuclear expression,"IHC, SGAs, NGS"
Breast,Breast CA,Estrogen Receptor (ER or ESR1),,response to anti-estrogen,"IHC, SGAs, NGS"
Breast,Breast CA,Progesterone Receptor (PR or PGR),,response to anti-estrogen,"IHC, SGAs, NGS"
Breast,Breast CA,ERBB2 (HER2),Amplification / Overexpression; S310; L755,responsiveness to trastuzumab,"FISH, IHC"
Breast,Breast CA,PIK3CA,"E542, E545, H1045",response to PI3K inhibitor,"SGAs, NGS"
Breast,Breast CA (Lobular),CDH1 (E-Cadherin),LOF,diagnostic,"IHC, SGAs, NGS"
Breast,HBOC / Sporadic CA,BRCA1 / BRCA2,LOF,risk of hereditary cancer; response to PARP inhibitors,"SGAs, NGS"
Cervix,Squamous cell CA,High-risk HPV,"high risk virus, type 16, 18, other",diagnostic,"IHC (p16), ISH, Viral Typing"
Cervix,Endometrial CA (sporadic),MLH1,LOF and promoter hypermethylation,somatic etiology (not Lynch Syndrome),promoter methylation
Endometrium,Lynch Syndrome,"MLH1, MSH2, MSH6, PMS2",LOF,40-60% lifetime risk of endometrial cancer,"IHC, SGAs, NGS, MSI"
Endometrium,Cowden Syndrome,PTEN  (germline),LOF,25% risk of endometrial cancer development,"SGA, NGS"
Eye,Retinoblastoma,RB1,LOF,risk of hereditary cancer,"SGAs, NGS"
Eye,Uveal Melanoma,"GNAQ, GNA11",GNAQ / GNA11 Q209L,diagnosis,"SGAs, NGS"
GI Tract,Gastrointestinal Stromal Tumor (GIST),KIT (CD117),exon 9 variants,"responsiveness to TKIs, associated with 1’ resistance",
GI Tract,Gastrointestinal Stromal Tumor (GIST),KIT (CD117),"exon 11 in-frame indels; D820; less
  frequently exons 8, 17                                                                                                                                                                                 ",responsiveness to TKIs,"SGAs, NGS
**IHC not a proxy**"
GI Tract,Gastrointestinal Stromal Tumor (GIST),KIT (CD117),,,
GI Tract,Gastrointestinal Stromal Tumor (GIST),KIT (CD117),  exon 14                                                                              ,resistance to first-line TKIs                                                                            ,
GI Tract,Gastrointestinal Stromal Tumor (GIST),KIT (CD117),exon 13,responsiveness to TKIs as 1’ variant; as 2’ variant confers resistance to TKIs,
GI Tract,Gastrointestinal Stromal Tumor (GIST),PDGFRA,"  exon 12, 14, 18 variants                                                ",responsiveness to TKIs                                                                                   ,"SGAs, NGS"
GI Tract,Gastrointestinal Stromal Tumor (GIST),PDGFRA,exon 18 D842V,resistance to TKIs,
GI Tract,Gastrointestinal Stromal Tumor (GIST),"SDHA, SDHB, SDHC, SDHD",LOF,resistance to TKIs,"SGAs, NGS, IHC for SDHB"
Colorectal CA,Colorectal CA,"KRAS, NRAS",G12; G13; Q61,decreased response to panitumumab or cetuximab,"SGAs, NGS"
GI Tract (Lower),Colorectal CA,BRAF (therapeutic setting),"exon 15, V600E",decreased response to panitumumab or cetuximab,"SGAs, NGS"
GI Tract (Lower),Colorectal CA,MSI testing,"MSI-High, Low, or stable","risk of hereditary cancer; prognosis, response to immunotherapy",MSI testing
GI Tract (Lower),Colorectal CA (Lynch Syndrome),"Most commonly MLH1, MSH2, MSH6,
PMS2, EPCAM",LOF,"risk of hereditary cancer; prognosis, response to immunotherapy","MMR IHC, NGS"
GI Tract (Lower),Colorectal CA (Lynch Syndrome),MLH1,promoter methylation,somatic etiology (not Lynch Syndrome),methylation studies
GI Tract (Lower),Colorectal CA (Lynch Syndrome),BRAF,"exon 15, V600E",somatic etiology when MLH1 deficient/MSI-high,"IHC, SGA, NGS"
GI Tract (Lower),Colorectal CA (FAP),APC,LOF,risk of hereditary cancer,"SGAs, NGS"
GI Tract (Lower),Hirschprung disease,RET,LOF,germline diagnosis,"SGAs, NGS"
Heart,Cardiomyopathy,MYH7,,Both dilated and hypertrophic,"SGAs, NGS"
Heart,Birt-Hogg-Dube syndrome,FLCN,LOF,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Kidney,Clear Cell Renal CA,VHL,3p deletion,germline diagnosis; risk of hereditary cancer,CGX
Kidney,Polycystic Kidney Disease (Dominant / Recessive),,,,"SGAs, NGS"
Kidney,Polycystic Kidney Disease (Dominant / Recessive),PKD1 / PKHD1,LOF,germline diagnosis,
Kidney,Renal CA; Von Hippel Lindau Syndrome,VHL,LOF,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Kidney,Rhabdoid Sarcoma,"SMARCB1 (INI), SMARCA4 (BRG1)",LOF,risk of hereditary cancer,"IHC, NGS"
Kidney,Translocation-Associated Renal CA,TFE3 rearrangement,translocations involving Xp11,diagnostic,"FISH, CGX"
Kidney,Wilm's Tumor,WT1,,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
